"tab_code","表章項目","cat01_code","データの種別","cat02_code","銘柄","area_code","地域","time_code","時間軸（月）","unit","value","annotation","time"
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2021000404","2021年4月","円",1066,NA,2021-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2021000303","2021年3月","円",1139,NA,2021-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2021000202","2021年2月","円",1017,NA,2021-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2021000101","2021年1月","円",912,NA,2021-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020001212","2020年12月","円",932,NA,2020-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020001111","2020年11月","円",1042,NA,2020-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020001010","2020年10月","円",962,NA,2020-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000909","2020年9月","円",1022,NA,2020-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000808","2020年8月","円",1002,NA,2020-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000707","2020年7月","円",981,NA,2020-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000606","2020年6月","円",996,NA,2020-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000505","2020年5月","円",929,NA,2020-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000404","2020年4月","円",1141,NA,2020-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000303","2020年3月","円",1107,NA,2020-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000202","2020年2月","円",1112,NA,2020-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2020000101","2020年1月","円",974,NA,2020-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019001212","2019年12月","円",927,NA,2019-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019001111","2019年11月","円",938,NA,2019-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019001010","2019年10月","円",953,NA,2019-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000909","2019年9月","円",953,NA,2019-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000808","2019年8月","円",971,NA,2019-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000707","2019年7月","円",958,NA,2019-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000606","2019年6月","円",992,NA,2019-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000505","2019年5月","円",1011,NA,2019-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000404","2019年4月","円",1074,NA,2019-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000303","2019年3月","円",1011,NA,2019-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000202","2019年2月","円",983,NA,2019-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2019000101","2019年1月","円",896,NA,2019-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018001212","2018年12月","円",885,NA,2018-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018001111","2018年11月","円",835,NA,2018-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018001010","2018年10月","円",941,NA,2018-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000909","2018年9月","円",964,NA,2018-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000808","2018年8月","円",869,NA,2018-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000707","2018年7月","円",896,NA,2018-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000606","2018年6月","円",946,NA,2018-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000505","2018年5月","円",911,NA,2018-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000404","2018年4月","円",970,NA,2018-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000303","2018年3月","円",901,NA,2018-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000202","2018年2月","円",882,NA,2018-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2018000101","2018年1月","円",964,NA,2018-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017001212","2017年12月","円",900,NA,2017-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017001111","2017年11月","円",878,NA,2017-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017001010","2017年10月","円",917,NA,2017-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000909","2017年9月","円",942,NA,2017-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000808","2017年8月","円",905,NA,2017-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000707","2017年7月","円",874,NA,2017-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000606","2017年6月","円",900,NA,2017-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000505","2017年5月","円",995,NA,2017-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000404","2017年4月","円",1248,NA,2017-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000303","2017年3月","円",1104,NA,2017-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000202","2017年2月","円",1034,NA,2017-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2017000101","2017年1月","円",962,NA,2017-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016001212","2016年12月","円",900,NA,2016-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016001111","2016年11月","円",891,NA,2016-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016001010","2016年10月","円",859,NA,2016-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000909","2016年9月","円",848,NA,2016-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000808","2016年8月","円",965,NA,2016-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000707","2016年7月","円",824,NA,2016-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000606","2016年6月","円",898,NA,2016-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000505","2016年5月","円",894,NA,2016-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000404","2016年4月","円",1083,NA,2016-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000303","2016年3月","円",924,NA,2016-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000202","2016年2月","円",1063,NA,2016-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2016000101","2016年1月","円",871,NA,2016-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015001212","2015年12月","円",870,NA,2015-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015001111","2015年11月","円",834,NA,2015-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015001010","2015年10月","円",844,NA,2015-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000909","2015年9月","円",873,NA,2015-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000808","2015年8月","円",829,NA,2015-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000707","2015年7月","円",831,NA,2015-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000606","2015年6月","円",853,NA,2015-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000505","2015年5月","円",857,NA,2015-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000404","2015年4月","円",903,NA,2015-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000303","2015年3月","円",875,NA,2015-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000202","2015年2月","円",851,NA,2015-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2015000101","2015年1月","円",826,NA,2015-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014001212","2014年12月","円",790,NA,2014-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014001111","2014年11月","円",845,NA,2014-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014001010","2014年10月","円",795,NA,2014-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000909","2014年9月","円",823,NA,2014-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000808","2014年8月","円",819,NA,2014-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000707","2014年7月","円",760,NA,2014-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000606","2014年6月","円",818,NA,2014-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000505","2014年5月","円",809,NA,2014-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000404","2014年4月","円",845,NA,2014-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000303","2014年3月","円",779,NA,2014-03-01
